0 1 3 0 -2 -1 0 1 -1 0 
0.03125 0.999953 2.99978 0 -1.99969 -0.999953 0 0.999783 -0.999908 0 
0.0625 0.999812 2.99914 0 -1.99877 -0.999812 0 0.999132 -0.999634 0 
0.125 0.999249 2.99656 0 -1.99509 -0.999249 0 0.996525 -0.998535 0 
0.1875 0.999014 2.99548 0 -1.98918 -0.999387 0 0.991937 -0.997779 0 
0.25 0.996991 2.98621 0 -1.98032 -0.996991 0 0.986062 -0.994133 0 
0.3125 0.996566 2.98427 0 -1.96961 -0.997235 0 0.977752 -0.992771 0 
0.375 0.993205 2.9689 0 -1.95553 -0.993205 0 0.968497 -0.986779 0 
0.4375 0.992586 2.96608 0 -1.93991 -0.993551 0 0.956375 -0.984809 0 
0.5 0.987857 2.94455 0 -1.92043 -0.987856 0 0.943633 -0.976445 0 
0.5625 0.987038 2.94083 0 -1.89973 -0.988295 0 0.927557 -0.973864 0 
0.625 0.980896 2.91301 0 -1.87464 -0.980891 0 0.911175 -0.963091 0 
0.6875 0.97987 2.90838 0 -1.84859 -0.981411 0 0.890947 -0.959897 0 
0.75 0.972255 2.8741 0 -1.81758 -0.972239 0 0.870707 -0.94667 0 
0.8125 0.967278 2.85182 0 -1.78458 -0.967251 0 0.847299 -0.937291 0 
0.875 0.961845 2.82761 0 -1.74846 -0.961801 0 0.82166 -0.927123 0 
0.90625 0.961122 2.8244 0 -1.7299 -0.962108 0 0.807249 -0.924951 0 
0.9375 0.955941 2.80142 0 -1.70906 -0.955872 0 0.793686 -0.916157 0 
0.96875 0.955158 2.79796 0 -1.68887 -0.956182 0 0.778002 -0.913833 0 
1 0.94955 2.77323 0 -1.66623 -0.949442 0 0.763253 -0.904385 0 
1.03125 0.948704 2.76952 0 -1.64431 -0.949749 0 0.746224 -0.901911 0 
1.0625 0.942652 2.74298 0 -1.61976 -0.942488 0 0.730216 -0.891799 0 
1.09375 0.94174 2.73901 0 -1.596 -0.942783 0 0.711756 -0.889177 0 
1.125 0.935225 2.71063 0 -1.56942 -0.93498 0 0.6944 -0.878392 0 
1.15625 0.934245 2.70638 0 -1.54369 -0.935253 0 0.674406 -0.875625 0 
1.1875 0.927244 2.67611 0 -1.51493 -0.926882 0 0.655595 -0.864158 0 
1.21875 0.926192 2.67158 0 -1.48707 -0.927121 0 0.633941 -0.861252 0 
1.25 0.918682 2.63936 0 -1.45594 -0.918151 0 0.613543 -0.849093 0 
1.28125 0.917555 2.63455 0 -1.42576 -0.91834 0 0.590076 -0.846056 0 
1.3125 0.909506 2.60031 0 -1.39204 -0.908735 0 0.567925 -0.833197 0 
1.34375 0.908299 2.59521 0 -1.35929 -0.908851 0 0.54245 -0.830043 0 
1.375 0.899681 2.55889 0 -1.32268 -0.898565 0 0.518337 -0.81648 0 
1.40625 0.898389 2.55348 0 -1.28705 -0.898577 0 0.490603 -0.813226 0 
1.4375 0.889165 2.515 0 -1.24719 -0.887552 0 0.464252 -0.79896 0 
1.46875 0.887783 2.50928 0 -1.20825 -0.887418 0 0.433929 -0.795634 0 
1.5 0.877912 2.46856 0 -1.16464 -0.875577 0 0.404964 -0.780677 0 
1.53125 0.876432 2.46251 0 -1.12182 -0.87523 0 0.371597 -0.777323 0 
1.5625 0.865866 2.41946 0 -1.07376 -0.862467 0 0.339488 -0.761704 0 
1.59375 0.864282 2.41307 0 -1.02623 -0.861805 0 0.302416 -0.758396 0 
1.625 0.852966 2.36758 0 -0.97268 -0.847956 0 0.266364 -0.742184 0 
1.65625 0.851268 2.36083 0 -0.919149 -0.846803 0 0.224559 -0.739053 0 
1.6875 0.83914 2.31279 0 -0.858414 -0.831594 0 0.183248 -0.722398 0 
1.71875 0.837318 2.30566 0 -0.796635 -0.829602 0 0.134917 -0.719712 0 
1.75 0.824303 2.25494 0 -0.72554 -0.812471 0 0.0858506 -0.702986 0 
1.78125 0.822346 2.24741 0 -0.650789 -0.808784 0 0.0272236 -0.701418 0 
1.8125 0.808359 2.19387 0 -0.56151 -0.788106 0 -0.0358072 -0.685835 0 
1.84375 0.806254 2.18592 0 -0.458455 -0.779069 0 -0.116989 -0.688295 0 
1.875 0.791198 2.12939 0 -0.300442 -0.737029 0 -0.234365 -0.688012 0 
1.90625 0.782125 2.09582 0 -0.410372 -0.63475 0 -0.140978 -0.749693 0 
1.9375 0.772708 2.06133 0 -0.515861 -0.603111 0 -0.0509361 -0.754307 0 
1.96875 0.762937 2.02589 0 -0.600175 -0.578277 0 0.0223774 -0.752911 0 
2 0.752805 1.98948 0 -0.672733 -0.556443 0 0.0865036 -0.748531 0 
2.03125 0.742303 1.95207 0 -0.737278 -0.536308 0 0.144441 -0.742193 0 
2.0625 0.731424 1.91363 0 -0.795786 -0.517247 0 0.197774 -0.734381 0 
2.09375 0.720161 1.87414 0 -0.849461 -0.498903 0 0.247472 -0.72536 0 
2.125 0.708507 1.83355 0 -0.899106 -0.48105 0 0.294181 -0.715292 0 
2.15625 0.696454 1.79184 0 -0.945289 -0.463533 0 0.338359 -0.704278 0 
2.1875 0.683997 1.74896 0 -0.988429 -0.446241 0 0.380345 -0.692385 0 
2.21875 0.67113 1.70488 0 -1.02884 -0.429092 0 0.420398 -0.679653 0 
2.25 0.657846 1.65953 0 -1.06679 -0.41202 0 0.458722 -0.666105 0 
2.28125 0.644143 1.61289 0 -1.10246 -0.394974 0 0.495479 -0.651752 0 
2.3125 0.630015 1.56488 0 -1.13601 -0.377912 0 0.530798 -0.636595 0 
